metname,inchikey,Canonical_SMILES
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M,C(C1C(C(C(O1)NC(=O)C[NH3+])O)O)OP(=O)([O-])[O-]
cpd09802,NA,noinchikey_inpubchem
cpd11435,NA,noinchikey_inpubchem
cpd21472,NA,noinchikey_inpubchem
pram,SKCBPEVYGOQGJN-TXICZTDVSA-M,C(C1C(C(C(O1)[NH3+])O)O)OP(=O)([O-])[O-]
gcald,WGCNASOHLSPBMP-UHFFFAOYSA-N,C(C=O)O
pan4p,JDMUPRLRUUMCTL-VIFPVBQESA-L,CC(C)(COP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCS)O
cpd25880,NA,noinchikey_inpubchem
cpd11542,NA,noinchikey_inpubchem
pg161,GHQNERCMPIDAAU-ANXSUKRNSA-M,noinchikey_inpubchem
iasp,NMUOATVLLQEYHI-UHFFFAOYSA-M,C(C(=N)C(=O)O)C(=O)[O-]
cpd25884,NA,noinchikey_inpubchem
hdeACP,NA,noinchikey_inpubchem
cpd15065,NA,noinchikey_inpubchem
clpn140,SDCJNZZAOLRVCP-GTOSQJSUSA-L,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)O)OC(=O)CCCCCCCCCCCCC
adocbi,KQXSPGAEBZWHMC-OCUXTBADSA-N,noinchikey_inpubchem
xolest_hs,NA,noinchikey_inpubchem
dctp,RGWHQCVHVJXOKC-SHYZEUOFSA-J,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L,CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J,C1C(=NC2=C(N1)NC(=NC2=O)N)C(C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K,CC(=O)NC1C(C(C(OC1OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)OC(=C)C(=O)[O-]
cpd14548,NA,noinchikey_inpubchem
cpd12322,NA,noinchikey_inpubchem
cpd12438,NA,noinchikey_inpubchem
cpd19185,NA,noinchikey_inpubchem
cpd15684,NA,noinchikey_inpubchem
ficytc,NA,noinchikey_inpubchem
fol,OVBPIULPVIDEAO-LBPRGKRZSA-L,C1=CC(=CC=C1C(=O)NC(CCC(=O)[O-])C(=O)[O-])NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
cpd11560,NA,noinchikey_inpubchem
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
cpd15677,NA,noinchikey_inpubchem
cpd11553,NA,noinchikey_inpubchem
3ocddec5eACP,NA,noinchikey_inpubchem
tyrtrna,NA,noinchikey_inpubchem
udcpdp,NTXGVHCCXVHYCL-RDQGWRCRSA-K,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C)C)C)C)C)C)C)C)C)C
cpd11636,NA,noinchikey_inpubchem
cpd11209,NA,noinchikey_inpubchem
SM_MOLECULES,NA,noinchikey_inpubchem
cpd24604,NA,noinchikey_inpubchem
cpd01921,NA,noinchikey_inpubchem
cpd10565,NA,noinchikey_inpubchem
peamn,BHHGXPLMPWCGHP-UHFFFAOYSA-O,C1=CC=C(C=C1)CC[NH3+]
fecost,SLQKYSPHBZMASJ-QKPORZECSA-N,CC(C)C(=C)CCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C
mg2,JLVVSXFLKOJNIY-UHFFFAOYSA-N,[Mg+2]
ugmd,QUHLBZKCGUXHGP-AJVQVANPSA-J,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)[O-])[NH3+])C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
dtdprmn,ZOSQFDVXNQFKBY-CGAXJHMRSA-L,CC1C(C(C(C(O1)OP(=O)([O-])OP(=O)([O-])OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O)O
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C(=O)(N)N
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M,C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]
cdpdtdecg,ICFWXMWHAMIZGF-WNAWUNHNSA-L,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)OC(=O)CCCCCCCCCCCCC
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L,C1C2CN(CN2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
colipa,SFVRSCGTAWOHDB-JMYCZVSXSA-C,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)([O-])[O-])COC2(CC(C(C(O2)C(CO)O)OC3C(C(C(C(O3)C(CO)O)OP(=O)([O-])[O-])OC4C(C(C(C(O4)C(COC5C(C(C(C(O5)C(CO)O)O)O)O)O)OP(=O)([O-])[O-])OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C(CO)O)O)O)O)O)O)O)O)O)O)OC1(CC(C(C(O1)C(CO)O)OC1C(C(C(C(O1)C)O)O)O)OC1(CC(C(C(O1)C(CO)O)O)O)C(=O)[O-])C(=O)[O-])C(=O)[O-])OCC1C(C(C(C(O1)OP(=O)(O)O)N=C(CC(CCCCCCCCCCC)O)[O-])OC(=O)CC(CCCCCCCCCCC)O)O)N=C(CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[O-]
2dh3dgal6p,OVPRPPOVAXRCED-NQXXGFSBSA-K,C(C(C(COP(=O)([O-])[O-])O)O)C(=O)C(=O)[O-]
cpd03658,NA,noinchikey_inpubchem
5flurimp,RNBMPPYRHNWTMA-UAKXSSHOSA-L,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)F
metsox_S__L,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,CS(=O)CCC(C(=O)O)N
dad_5,XGYIMTFOTBMPFP-KQYNXXCUSA-N,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
pe160,SLKDGVPOSSLUAI-PGUFJCEWSA-N,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC
pyr,LCTONWCANYUPML-UHFFFAOYSA-M,CC(=O)C(=O)[O-]
4mpetz,OCYMERZCMYJQQO-UHFFFAOYSA-L,CC1=C(SC=N1)CCOP(=O)([O-])[O-]
aa,HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(=O)N
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CN2
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L,C(CC(=O)OP(=O)([O-])[O-])C(C(=O)[O-])[NH3+]
pa180,YFWHNAWEOZTIPI-DIPNUNPCSA-L,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCCCCCC
t3c5ddeceACP,NA,noinchikey_inpubchem
ttc_ggdp,NA,noinchikey_inpubchem
cpd02172,NA,noinchikey_inpubchem
dgsn,YKBGVTZYEHREMT-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)O
cpd09790,NA,noinchikey_inpubchem
ocACP,NA,noinchikey_inpubchem
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]
cpd11537,NA,noinchikey_inpubchem
uaGgla,SULOOAFLXMQJSF-OGDYFQGPSA-K,CC(C(=O)NC(CCC(=O)NC(CCCC[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
nmn,DAYLJWODMCOQEW-TURQNECASA-M,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)N
cpd04167,NA,noinchikey_inpubchem
cpd11555,NA,noinchikey_inpubchem
cpd12640,NA,noinchikey_inpubchem
ethso3,CCIVGXIOQKPBKL-UHFFFAOYSA-M,CCS(=O)(=O)[O-]
pa161,NA,noinchikey_inpubchem
trnacys,NA,noinchikey_inpubchem
lpam,FCCDDURTIIUXBY-SSDOTTSWSA-N,C1CSSC1CCCCC(=O)N
butACP,NA,noinchikey_inpubchem
cpd03365,NA,noinchikey_inpubchem
cdpg,PZJOIILIPTVGFU-UWTATZPHSA-K,C1C(OP(=O)(OP(=O)(O1)[O-])[O-])C(=O)[O-]
cpd12572,NA,noinchikey_inpubchem
mi4p__D,INAPMGSXUVUWAF-CNWJWELYSA-L,noinchikey_inpubchem
meoh,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO
rbflvrd,SGSVWAYHEWEQET-SCRDCRAPSA-N,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(CO)O)O)O
uaaGgtla,CALJPWOWZPDIQK-PRHZHQPTSA-L,CC(C(=O)NC(CCC(=O)NC(CCCC[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)N)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
betald,SXKNCCSPZDCRFD-UHFFFAOYSA-N,C[N+](C)(C)CC=O
2amac,UQBOJOOOTLPNST-UHFFFAOYSA-N,C=C(C(=O)O)N
akg,KPGXRSRHYNQIFN-UHFFFAOYSA-L,C(CC(=O)[O-])C(=O)C(=O)[O-]
gg4abut,MKYPKZSGLSOGLL-LURJTMIESA-M,C(CC(=O)[O-])CNC(=O)CCC(C(=O)[O-])[NH3+]
s7p,JDTUMPKOJBQPKX-GBNDHIKLSA-L,C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)([O-])[O-]
3ocpalm9eACP,NA,noinchikey_inpubchem
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])OP(=O)([O-])[O-])O
cpd03199,NA,noinchikey_inpubchem
34dhphe,NA,noinchikey_inpubchem
din,VGONTNSXDCQUGY-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C2NC=NC3=O)CO)O
cpppg1,WIUGGJKHYQIGNH-UHFFFAOYSA-J,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)[O-])N2)C)CCC(=O)[O-])C)CCC(=O)[O-])C)CCC(=O)[O-]
2agpe140,DDUZNLUWXLYPCP-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
cpd03280,NA,noinchikey_inpubchem
cpd09351,NA,noinchikey_inpubchem
3ophb,UTIBHEBNILDQKX-LQOKPSQISA-M,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)[O-])O)C)C)C)C)C)C)C)C
gmhep17bp,LMTGTTLGDUACSJ-NNPWBXLPSA-J,C(C(C1C(C(C(C(O1)OP(=O)([O-])[O-])O)O)O)O)OP(=O)([O-])[O-]
cpd00049,NA,noinchikey_inpubchem
cpd02414,NA,noinchikey_inpubchem
glc__D,WQZGKKKJIJFFOK-GASJEMHNSA-N,C(C1C(C(C(C(O1)O)O)O)O)O
5aop,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,C(CC(=O)O)C(=O)CN
cpd15066,NA,noinchikey_inpubchem
pac,WLJVXDMOQOGPHL-UHFFFAOYSA-M,C1=CC=C(C=C1)CC(=O)[O-]
cpd11517,NA,noinchikey_inpubchem
2agpe180,KIHAGWUUUHJRMS-JOCHJYFZSA-N,CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
cpd01736,NA,noinchikey_inpubchem
sertrna,NA,noinchikey_inpubchem
cpd09792,NA,noinchikey_inpubchem
anhgm,NA,noinchikey_inpubchem
trnaglu,NA,noinchikey_inpubchem
cpd01663,NA,noinchikey_inpubchem
udg,VTFWFHCECSOPSX-UHFFFAOYSA-N,C(C(=O)O)(N)NC(=O)N
minohp,IMQLKJBTEOYOSI-GPIVLXJGSA-B,noinchikey_inpubchem
hmgcoa,CABVTRNMFUVUDM-SJBCKIPMSA-I,noinchikey_inpubchem
cpd11522,NA,noinchikey_inpubchem
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L,C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O
cpd15694,NA,noinchikey_inpubchem
cpd11476,NA,noinchikey_inpubchem
apg160,BSAFHIMUDGXOPA-OKPYTHRESA-M,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)O
2omhmbl,QURLIMHPCRKMJP-WDXILIIOSA-N,CC1=C(C(=C(C(=C1O)O)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
pg141,NA,noinchikey_inpubchem
cpd15674,NA,noinchikey_inpubchem
odecoa,NA,noinchikey_inpubchem
cpd14796,NA,noinchikey_inpubchem
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M,C1=CC=C(C=C1)CC(=O)C(=O)[O-]
frdp,VWFJDQUYCIWHTN-YFVJMOTDSA-K,CC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C)C
suc6p,PJTTXANTBQDXME-UGDNZRGBSA-L,C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)([O-])[O-])O)O)CO)O)O)O)O
histd,ZQISRDCJNBUVMM-YFKPBYRVSA-O,C1=C(NC=N1)CC(CO)[NH3+]
cpd01301,NA,noinchikey_inpubchem
cpd10488,NA,noinchikey_inpubchem
cpd00361,NA,noinchikey_inpubchem
cpd15718,NA,noinchikey_inpubchem
pad,LSBDFXRDZJMBSC-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(=O)N
5fthf,VVIAGPKUTFNRDU-STQMWFEESA-L,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
3uib,PHENTZNALBMCQD-UHFFFAOYSA-M,CC(CNC(=O)N)C(=O)[O-]
2ombz,AFTBILPWMUSGIN-MYCGWMCTSA-N,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C)C)C
hlipa,HPDZKCJEWNZSML-YOZKHJKSSA-H,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)([O-])[O-])COC2(CC(C(C(O2)C(CO)O)OC3C(C(C(C(O3)C(CO)O)O)O)O)OC4(CC(C(C(O4)C(CO)O)O)O)C(=O)[O-])C(=O)[O-])OCC5C(C(C(C(O5)OP(=O)([O-])[O-])NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
grdp,GVVPGTZRZFNKDS-JXMROGBWSA-K,CC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N,C1=CC=C(C=C1)CC(C(=O)O)N
cpd11502,NA,noinchikey_inpubchem
cpd10548,NA,noinchikey_inpubchem
udpglcur,HDYANYHVCAPMJV-LXQIFKJMSA-K,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OC3C(C(C(C(O3)C(=O)[O-])O)O)O)O)O
3opalmACP,NA,noinchikey_inpubchem
leutrna,NA,noinchikey_inpubchem
3hbutACP,NA,noinchikey_inpubchem
ps181,NA,noinchikey_inpubchem
cpd25879,NA,noinchikey_inpubchem
trnatyr,NA,noinchikey_inpubchem
trnaarg,NA,noinchikey_inpubchem
uppg3,HUHWZXWWOFSFKF-UHFFFAOYSA-F,C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]
psqldp,ATZKAUGGNMSCCY-VYCBRMPGSA-K,CC(=CCCC(=CCCC(=CC1C(C1(C)CCC=C(C)CCC=C(C)C)COP(=O)([O-])OP(=O)([O-])[O-])C)C)C
cpd11550,NA,noinchikey_inpubchem
cpd03666,NA,noinchikey_inpubchem
cpd11566,NA,noinchikey_inpubchem
cpd11501,NA,noinchikey_inpubchem
cpd03659,NA,noinchikey_inpubchem
3ooctACP,NA,noinchikey_inpubchem
o2s,OUUQCZGPVNCOIJ-UHFFFAOYSA-M,[O-][O]
amob,UOKVQQMBGVMXPU-CJPDYEHRSA-N,C[S+](CCC(=O)C(=O)[O-])CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
dad_2,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
udpgal,HSCJRCZFDFQWRP-ABVWGUQPSA-L,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OC3C(C(C(C(O3)CO)O)O)O)O)O
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
ttdca,NA,noinchikey_inpubchem
cpd03706,NA,noinchikey_inpubchem
cpd11508,NA,noinchikey_inpubchem
cpd10568,NA,noinchikey_inpubchem
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O,C(CC(C(=O)[O-])[NH3+])C[NH+]=C(N)N
cpd11570,NA,noinchikey_inpubchem
cpd11535,NA,noinchikey_inpubchem
cpd10503,NA,noinchikey_inpubchem
cpd05546,NA,noinchikey_inpubchem
cpd11206,NA,noinchikey_inpubchem
5forthf,YCWUVLPMLLBDCU-STQMWFEESA-L,C1C(N(C2=C(N1)NC(=NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ps141,NA,noinchikey_inpubchem
2p4c2me,HTJXTKBIUVFUAR-XHIBXCGHSA-J,CC(CO)(C(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)([O-])[O-]
chor,WTFXTQVDAKGDEY-HTQZYQBOSA-L,C=C(C(=O)[O-])OC1C=C(C=CC1O)C(=O)[O-]
dxyl5p,AJPADPZSRRUGHI-RFZPGFLSSA-L,CC(=O)C(C(COP(=O)([O-])[O-])O)O
cpd11530,NA,noinchikey_inpubchem
HOPANOIDS,NA,noinchikey_inpubchem
glyc3p,AWUCVROLDVIAJX-GSVOUGTGSA-L,C(C(COP(=O)([O-])[O-])O)O
lipopb,NA,noinchikey_inpubchem
3ohexACP,NA,noinchikey_inpubchem
cpd02603,NA,noinchikey_inpubchem
suchms,GNISQJGXJIDKDJ-YFKPBYRVSA-M,C(COC(=O)CCC(=O)[O-])C(C(=O)[O-])[NH3+]
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K,C(C(C(=O)[O-])OP(=O)([O-])[O-])O
cpd01560,NA,noinchikey_inpubchem
dump,JSRLJPSBLDHEIO-SHYZEUOFSA-L,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)([O-])[O-])O
cpd21488,NA,noinchikey_inpubchem
fdxrd,NA,noinchikey_inpubchem
cpd14547,NA,noinchikey_inpubchem
cpd11528,NA,noinchikey_inpubchem
2agpg141,NA,noinchikey_inpubchem
5odhf2a,ZPEHSARSWGDCEX-UHFFFAOYSA-M,C1C=C(OC1=O)CC(=O)[O-]
4gudbd,YHVFECVVGNXFKO-UHFFFAOYSA-O,C(CC(=O)N)C[NH+]=C(N)N
dtbt,AUTOLBMXDDTRRT-UHFFFAOYSA-M,CC1C(NC(=O)N1)CCCCCC(=O)[O-]
orot,PXQPEWDEAKTCGB-UHFFFAOYSA-M,C1=C(NC(=O)NC1=O)C(=O)[O-]
cholcoaone,NA,noinchikey_inpubchem
cpd10489,NA,noinchikey_inpubchem
cpd11565,NA,noinchikey_inpubchem
pe161,NA,noinchikey_inpubchem
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I,C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-]
cpd15676,NA,noinchikey_inpubchem
cpd03211,NA,noinchikey_inpubchem
trnaleu,NA,noinchikey_inpubchem
mi1p__D,INAPMGSXUVUWAF-UOTPTPDRSA-L,noinchikey_inpubchem
5dh4dglc,QUURPCHWPQNNGL-ZAFYKAAXSA-L,C(C(C(C(=O)[O-])O)O)C(=O)C(=O)[O-]
